"A 1989-2018"
"1st XI/2nd XI/3rd XI  League/Cup/Other 1/Other 2/Other 3/Other 4/Other 5/Other 6/Other 7/Other 8/Other 9/Other 10/Other 11/Other 12/ ..."
"Batting Averages"
""
"","Name","Mch","Inn","N O","Runs","H S","100s","50s","6s","4s","Av",
"S","Stanford","118","111","11","2630","183","3","12","63","290","26.30",
"D","Sandham","205","201","11","2614","88*","","5","2","138","13.76",
"D","Fletcher","138","127","44","2504","74*","","8","","239","30.17",
"P","Walmsley","148","123","35","2442","93*","","8","42","246","27.75",
"S","Clare","67","66","11","1841","108","1","11","82","198","33.47",
"P","Stimpson","162","145","15","1748","75","","5","3","178","13.45",
"A","Dean","125","97","16","1722","121*","2","5","19","204","21.26",
"C","Driver","104","93","11","1643","121","1","7","19","189","20.04",
"M","Thompson","204","188","18","1593","47","","","2","124","9.37",
"S","English","83","79","10","1579","87*","","7","","","22.88",
"M","Cullum","169","151","22","1573","55","","2","7","140","12.19",
"D","Gailliez","76","76","4","1466","84","","9","2","19","20.36",
"P","Harrowing","112","106","5","1423","54","","2","","14","14.09",
"N","Dean","104","90","9","1384","74","","3","20","181","17.09",
"M","Haslop","183","152","31","1376","69","","3","4","145","11.37",
"N","Dunwoody","94","93","12","1367","55*","","2","","9","16.88",
"S","Lambert","124","106","18","1289","63*","","5","45","127","14.65",
"P","Orvis","80","70","15","1208","90*","","3","3","133","21.96",
"P","Lemon","154","125","18","1206","57","","1","1","40","11.27",
"P","Pelling","98","89","6","1198","75","","4","35","131","14.43",
"D","Cullum","210","159","43","1109","37*","","","1","91","9.56",
"S","Williams","111","103","14","1095","50*","","1","","9","12.30",
"B","Cundy","58","55","9","1078","78","","5","","","23.43",
"J","Fuller","53","50","13","1070","96","","6","1","10","28.92",
"P","Howard","85","80","4","1040","101*","1","3","4","86","13.68",
"J","Steele","74","69","4","1034","75","","4","9","47","15.91",
"J","Baddeley","42","42","5","1012","83","","7","","29","27.35",
"J","Simpson","52","52","3","965","101","1","7","1","20","19.69",
"J","Cotton","78","69","6","962","63","","1","1","24","15.27",
"J","Neal","75","63","6","935","62","","2","3","113","16.40",
"P","Dickinson","50","50","3","922","87","","5","11","106","19.62",
"P","Perera","56","50","3","886","85","","4","43","85","18.85",
"L","Peters","49","48","6","790","67*","","4","","","18.81",
"P","Stockton","67","64","2","712","43","","","","72","11.48",
"G","Micher","48","46","4","672","73","","3","","","16.00",
"D","Rush","78","60","7","660","63*","","2","10","57","12.45",
"S","Wilson","132","94","25","596","49","","","3","59","8.64",
"M","Pope","65","55","11","587","68","","1","1","9","13.34",
"T","Yewbrey","46","43","8","566","72","","3","4","73","16.17",
"M","Iqbal","18","17","2","559","128*","1","2","21","59","37.27",
"T","Levitt","83","72","14","553","44*","","","1","55","9.53",
"A","Kent","65","50","9","467","37","","","","","11.39",
"I","Basser","20","19","2","449","92","","2","9","55","26.41",
"J","Barber","36","32","6","444","57","","2","5","52","17.08",
"SE","Smith","142","112","22","412","19","","","1","30","4.58",
"R","Page","177","116","57","406","24","","","","18","6.88",
"D","Allsopp","31","30","1","378","54","","2","","1","13.03",
"D","Cornwell","55","40","12","360","35","","","","","12.86",
"E","Hard","15","15","1","348","93","","2","4","50","24.86",
"C","Howse","42","35","5","347","43","","","13","34","11.57",
"A","Ingrey","26","25","1","338","45","","","1","23","14.08",
"P","Sistig","24","24","2","337","57*","","1","","42","15.32",
"C","Tabbitt","39","35","1","311","32","","","","","9.15",
"G","Bye","44","34","7","288","68","","1","1","13","10.67",
"C","Lemon","61","43","7","260","25*","","","","21","7.22",
"D","Hall","60","48","12","253","25","","","","15","7.03",
"I","Dunk","33","27","6","246","38","","","1","","11.71",
"B","Driver","116","61","31","227","26*","","","1","32","7.57",
"J","Turney","26","23","6","217","36","","","","","12.76",
"D","Underhay","86","62","17","210","28*","","","","18","4.67",
"T","Page","81","64","16","196","18*","","","","15","4.08",
"G","Hinchliffe","30","24","5","194","29","","","","6","10.21",
"M","Nunn","70","52","8","183","18","","","","2","4.16",
"C","Scott","13","12","1","183","34","","","2","10","16.64",
"M","Freeman","22","20","0","181","25","","","","21","9.05",
"G","Walker","17","17","2","181","61","","1","","13","12.07",
"S","Holt","85","49","22","171","21","","","2","14","6.33",
"J","Hinchliffe","21","14","1","167","41","","","","","12.85",
"M","Cundy","15","15","2","162","37","","","","","12.46",
"R","Dean","14","14","2","162","39*","","","1","13","13.50",
"J","Orvis","15","13","1","152","55*","","1","","18","12.67",
"P","Sandford","26","22","4","146","47","","","1","21","8.11",
"N","Scott","6","6","0","146","46","","","2","13","24.33",
"S","Plumb","39","30","1","131","17","","","","14","4.52",
"G","Hall","7","7","0","130","39","","","3","14","18.57",
"A","Nevin","9","7","3","127","54","","1","","","31.75",
"W","Rowland","2","2","1","120","119*","1","","4","14","120.00",
"A","Buller","7","6","1","119","55","","1","1","17","23.80",
"I","McGrory","26","19","6","117","24","","","","1","9.00",
"A","Rafiq","9","9","2","116","48*","","","","17","16.57",
"N","Suckling","47","30","8","115","39*","","","2","13","5.23",
"A","Birley","22","16","5","111","48","","","1","6","10.09",
"A","Jolley","24","23","1","108","32","","","1","17","4.91",
"A","Matthews","11","11","2","106","33*","","","","18","11.78",
"K","Jackson","27","20","5","103","30","","","","","6.87",
"J","Fallon","6","6","0","93","27","","","","17","15.50",
"V","Neal","26","19","3","92","19","","","","","5.75",
"R","Sweeney","20","14","3","90","51","","1","","","8.18",
"J","Curry","18","16","0","89","28","","","","12","5.56",
"A","Ralph","29","22","5","86","17","","","","4","5.06",
"J","Harris","4","4","0","85","56","","1","2","7","21.25",
"F","Eggleton","1","1","1","85","85*","","1","2","12","----",
"I","Clenahan","19","13","0","83","19","","","","","6.38",
"A","Richardson","1","1","0","82","82","","1","","8","82.00",
"C","Waldron","8","7","1","78","35","","","","","13.00",
"P","Robinson","5","5","1","73","29*","","","4","5","18.25",
"A","Afaal","15","13","1","70","24*","","","2","9","5.83",
"B","Thapa","13","13","7","68","11*","","","","","11.33",
"R","Burgess","11","10","1","62","19","","","","","6.89",
"T","Peck","6","6","1","62","29","","","","7","12.40",
"C","Jones","18","11","1","58","14","","","","","5.80",
"A","Peck","5","5","0","58","19","","","","5","11.60",
"J","Karandana","7","7","1","54","16","","","2","5","9.00",
"J","Barclay","6","5","1","54","38","","","","7","13.50",
"S","Prosser","23","12","4","52","18*","","","","5","6.50",
"B","Dugan","5","4","1","48","28*","","","","4","16.00",
"S","Underhay","20","15","3","47","15","","","","4","3.92",
"F","Ducker","12","11","1","43","7","","","","","4.30",
"P","Smith","14","9","2","42","14","","","","","6.00",
"M","Stevens","8","7","1","41","15","","","","","6.83",
"T","Moffat","57","29","6","40","8","","","","2","1.74",
"S","Baker","8","8","1","39","11*","","","","2","5.57",
"J","Nayer","6","5","1","39","18","","","","","9.75",
"M","Fuller","1","1","0","39","39","","","","4","39.00",
"I","Blake","14","11","3","33","16","","","","","4.13",
"C","Munday","2","2","0","33","31","","","","5","16.50",
"R","Stevens","13","11","1","31","18*","","","","3","3.10",
"M","Swanser","6","5","2","31","13*","","","","4","10.33",
"R","Daniels","3","3","0","31","17","","","","","10.33",
"A","Curry","15","11","0","29","9","","","","4","2.64",
"B","Simpson","1","1","0","29","29","","","","","29.00",
"A","Stearn","16","11","6","27","13","","","","","5.40",
"A","Bell","8","7","2","27","10","","","","","5.40",
"D","Harrower","9","6","1","25","12","","","","","5.00",
