"A 1989-2018"
"1st XI/2nd XI/3rd XI  League/Cup/Other 1/Other 2/Other 3/Other 4/Other 5/Other 6/Other 7/Other 8/Other 9/Other 10/Other 11/Other 12/ ..."
"Bowling Averages"
""
"","Name","Mch","Balls","Mdn","Wkts","Runs","Best","Av",
"R","Page","177","8905","298","289","4534","9--41","15.69",
"M","Cullum","169","6560","169","234","3702","6--19","15.82",
"P","Walmsley","148","7523","217","230","3656","5--2","15.90",
"A","Dean","125","5338","174","204","2899","5--25","14.21",
"P","Lemon","154","5131","121","199","2741","6--21","13.77",
"M","Haslop","183","4466","79","192","3173","6--13","16.53",
"S","Stanford","118","4330","107","181","2452","7--14","13.55",
"B","Driver","116","3975","73","148","2618","7--12","17.69",
"S","Wilson","132","3381","80","142","2133","5--18","15.02",
"D","Rush","78","3395","96","135","1808","5--23","13.39",
"P","Orvis","80","3971","134","133","2072","5--35","15.58",
"S","Holt","85","3654","93","121","2179","5--23","18.01",
"S","English","83","3356","108","120","1728","7--22","14.40",
"S","Williams","111","3500","108","116","2024","6--20","17.45",
"D","Cornwell","55","2673","81","111","1369","6--27","12.33",
"J","Cotton","78","2835","75","100","1591","6--28","15.91",
"T","Levitt","83","2747","66","97","1675","6--22","17.27",
"S","Clare","67","1727","48","86","1081","6--38","12.57",
"P","Perera","56","2440","65","79","1354","6--12","17.14",
"C","Driver","104","1790","29","70","1234","4--9","17.63",
"J","Fuller","53","1453","39","67","766","5--29","11.43",
"J","Steele","74","1690","16","66","1266","5--33","19.18",
"I","Dunk","33","1826","64","65","858","8--22","13.20",
"J","Neal","75","2156","53","62","1307","5--21","21.08",
"D","Allsopp","31","1071","19","60","636","6--25","10.60",
"T","Page","81","1812","16","55","1642","4--25","29.85",
"A","Ralph","29","1486","41","52","766","5--18","14.73",
"N","Dean","104","1434","31","46","1066","5--24","23.17",
"S","Lambert","124","1131","9","38","826","5--16","21.74",
"D","Underhay","86","1055","12","36","1020","4--16","28.33",
"D","Fletcher","138","885","22","36","517","5--17","14.36",
"N","Suckling","47","1283","18","33","1065","3--28","32.27",
"S","Prosser","23","1087","42","32","601","5--15","18.78",
"G","Bye","44","945","10","32","707","4--40","22.09",
"K","Jackson","27","918","18","31","495","4--14","15.97",
"I","McGrory","26","911","11","26","657","4--32","25.27",
"C","Lemon","61","833","11","26","552","3--7","21.23",
"L","Peters","49","585","18","26","375","4--59","14.42",
"P","Pelling","98","570","8","23","485","4--16","21.09",
"J","Barber","36","701","16","21","448","2--6","21.33",
"G","Hinchliffe","30","539","12","21","281","5--21","13.38",
"M","Pope","65","320","3","21","307","6--57","14.62",
"R","Burgess","11","643","16","20","301","4--39","15.05",
"R","Sweeney","20","893","20","19","514","3--22","27.05",
"P","Dickinson","50","481","2","19","421","4--33","22.16",
