Bar Hill 2017,,,,,,,
Friendly/Tour,,,,,,,
Record Partnerships,,,,,,,
,,,,,,,
Wkt,Score,Batsmen,,,,Opposition,Date
1,33,P,Stockton,P,Stimpson,Girton,30-Apr
,,,,,,,
2,17,P,Stimpson,S,Clare,Longstowe,23-Apr
,,,,,,,
3,5,P,Orvis,S,Clare,Girton,30-Apr
,,,,,,,
4,57,P,Orvis,T,Yewbrey,Girton,30-Apr
,,,,,,,
5,37,T,Yewbrey,J,Colding,Girton,30-Apr
,,,,,,,
6,15,J,Colding,M,Haslop,Girton,30-Apr
,,,,,,,
7,26,J,Colding,P,Orvis,Longstowe,23-Apr
,,,,,,,
8,1,P,Orvis,M,Haslop,Longstowe,23-Apr
,,,,,,,
9,2*,P,Orvis,T,Page,Longstowe,23-Apr
