0Team,1p,xw,3l,6c,5a,xlcn,xwcn,4t,7BP,xPen,2W,8Pts
Steeple Morden CC,11,7,4,0,0,0,0,0,23,0,7,163
Bar Hill CC,10,6,2,1,0,0,1,0,10,0,7,155
Camden CC,11,5,4,0,0,1,1,0,23,0,6,143
Cherry Hinton CC,9,5,2,1,0,0,1,0,16,0,6,141
Barrington CC,9,6,1,0,1,1,0,0,8,0,6,133
Coton CC,10,5,5,0,0,0,0,0,23,0,5,123
Cambourne CC,10,3,5,1,0,0,1,0,27,0,4,112
Linton Village CC,9,4,2,1,2,0,0,0,16,0,4,111
Girton CC,9,4,5,0,0,0,0,0,22,0,4,102
Saffron Walden CC,9,3,4,1,0,1,0,0,26,0,3,91
Cambridge NCI CC,10,2,7,1,0,0,0,0,44,0,2,89
Elsworth CC,9,2,5,1,1,0,0,0,28,0,2,78
Great Shelford CC,9,1,4,0,0,2,2,0,16,0,3,76
Fen Ditton CC,9,1,4,1,0,2,1,0,19,0,2,64
