0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"1","","","15","","J","Barclay","(7)","","D","Underhay","(9)","","Waterbeach",,
"","","","","","","","","","","","","","",,
"2","","","5","","D","Underhay","(9)","","J","Neal","(2)","","Waterbeach",,
"","","","","","","","","","","","","","",,
"3","","","44","","P","Stockton","(6)","","P","Orvis","(33)","","Scorchers",,
"","","","","","","","","","","","","","",,
"4","","","22","","S","Wilson","(23)","","A","Curry","(5)","","Dobblers",,
"","","","","","","","","","","","","","",,
"5","","","29","","M","Haslop","(19)","","J","Williams","(2)","","Elsworth",,
"","","","","","","","","","","","","","",,
"6","","","12","","M","Haslop","(17)","","T","Page","(5*)","","Waterbeach",,
"","","","","","","","","","","","","","",,
"7","","","32*","","S","Wilson","(23*)","","J","Williams","(8*)","","Scorchers",,
"","","","","","","","","","","","","","",,
"8","","","30","","J","Williams","(8*)","","T","Page","(13)","","Dobblers",,
"","","","","","","","","","","","","","",,
"9","","","15","","T","Page","(13)","","S","Underhay","(3*)","","Elsworth",,
"","","","","","","","","","","","","","",,
"10","","","5*","","S","Underhay","(3*)","","B","Driver","(5*)","","Elsworth",,
