0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"1","","","35","","P","Stockton","(16)","","P","Stimpson","(8)","","Sawston And Babraham 4","15-May",,
"","","","","","","","","","","","","","","",,
"2","","","7","","P","Stockton","(15)","","S","Connor","(0)","","Elsworth","12-Jun",,
"","","","","","","","","","","","","","","",,
"3","","","4","","V","Banavath","(11)","","A","Curry","(4)","","Cambourne4","05-Jun",,
"","","","","","","","","","","","","","","",,
"4","","","28","","V","Banavath","(11)","","J","Haque","(19)","","Cambourne4","05-Jun",,
"","","","","","","","","","","","","","","",,
"5","","","13","","J","Haque","(6)","","S","Underhay","(6)","","Sawston And Babraham 4","15-May",,
"","","","","","","","","","","","","","","",,
"6","","","9","","J","Haque","(19)","","D","Hughes","(1)","","Cambourne4","05-Jun",,
"","","","","","","","","","","","","","","",,
"7","","","9","","S","Connor","(13*)","","J","Williams","(2)","","Sawston And Babraham 4","15-May",,
"","","","","","","","","","","","","","","",,
"8","","","14","","S","Connor","(13*)","","T","Page","(4)","","Sawston And Babraham 4","15-May",,
"","","","","","","","","","","","","","","",,
"9","","","10","","S","Connor","(13*)","","D","Underhay","(1)","","Sawston And Babraham 4","15-May",,
"","","","","","","","","","","","","","","",,
"10","","","5","","S","Connor","(13*)","","A","Storey","(0)","","Sawston And Babraham 4","15-May",,
