0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"1","","","87","","J","Neal","(49)","","P","Stimpson","(36)","","Cottenham 2","25-Jun",,
"","","","","","","","","","","","","","","",,
"2","","","87","","P","Stimpson","(26)","","J","Neal","(54*)","","Over & Willingham 2","20-Aug",,
"","","","","","","","","","","","","","","",,
"3","","","85","","P","Stimpson","(78)","","P","Orvis","(33)","","Milton 3","23-Jul",,
"","","","","","","","","","","","","","","",,
"4","","","86","","J","Neal","(61)","","A","Dean","(122*)","","Steeple Morden","18-Jun",,
"","","","","","","","","","","","","","","",,
"5","","","74","","A","Dean","(83)","","J","Haque","(19)","","Cottenham 2","25-Jun",,
"","","","","","","","","","","","","","","",,
"6","","","36","","A","Dean","(64)","","J","Marshall-Grint","(16)","","Camden 2","30-Jul",,
"","","","","","","","","","","","","","","",,
"7","","","44","","A","Dean","(122*)","","J","Haque","(6)","","Steeple Morden","18-Jun",,
"","","","","","","","","","","","","","","",,
"8","","","27","","J","Barclay","(45)","","T","Page","(2)","","Stapleford","14-May",,
"","","","","","","","","","","","","","","",,
"9","","","16","","A","Dean","(122*)","","J","Howse","(0)","","Steeple Morden","18-Jun",,
"","","","","","","","","","","","","","","",,
"10","","","17*","","A","Dean","(122*)","","B","Driver","(0*)","","Steeple Morden","18-Jun",,
