Rank,Player,WICKET KEEPING CATCHES,FIELDING CATCHES,TOTAL CATCHES,,
0,D Cullum,131,15,146,,
0,P Walmsley,,72,72,,
0,M Thompson,19,51,70,,
0,P Stimpson,13,43,56,,
0,P Harrowing,,52,52,,
0,D Fletcher,25,25,50,,
0,N Dunwoody,,50,50,,
0,S English,,50,50,,
0,D Sandham,,49,49,,
0,C Driver,12,37,49,,
0,M Haslop,,47,47,,
0,A Dean,2,45,47,,
0,P Lemon,,46,46,,
0,M Cullum,,43,43,,
0,M Pope,3,39,42,,
0,J Curry,29,9,38,,
0,S Williams,,37,37,,
0,A Kent,,36,36,,
0,N Dean,6,28,34,,
0,P Howard,18,16,34,,
0,M Nunn,1,33,34,,
0,0 S Clare,1,33,34,,
0,J Steele,9,24,33,,
0,J Neal,2,29,31,,
0,P Pelling,1,30,31,,
0,S Lambert,,30,30,,
0,T Page,,30,30,,
0,D Rush,,30,30,,
0,B Cundy,,30,30,,
0,S Stanford,1,28,29,,
0,S Wilson,,28,28,,
0,C Lemon,,28,28,,
0,G Micher,,28,28,,
0,P Orvis,,27,27,,
0,T Levitt,,27,27,,
0,P Stockton,,25,25,,
0,D Hall,11,14,25,,
0,C Tabbitt,,25,25,,
0,P Perera,,24,24,,
0,P Dickinson,1,23,24,,
0,T Yewbrey,,24,24,,
0,S Holt,,23,23,,
0,D Gailliez,,23,23,,
0,B Driver,,22,22,,
0,J Cotton,,21,21,,
0,D Cornwell,,20,20,,
0,J Hinchliffe,,20,20,,
0,A Stearn,,20,20,,
0,V Neal,1,18,19,,
0,R Page,,18,18,,
0,C Howse,4,14,18,,
0,J Fuller,1,16,17,,
0,SE Smith,,16,16,,
0,J Simpson,,16,16,,
0,L Peters,,16,16,,
0,D Underhay,,14,14,,
0,C Jones,,13,13,,
0,J Baddeley,,12,12,,
0,J Turney,,12,12,,
0,J Marshall-Grint,,12,12,,
0,F Ducker,,12,12,,
0,T Moffat,,11,11,,
0,J Haque,,11,11,,
0,A Ingrey,,11,11,,
0,A Birley,,11,11,,
0,P Smith,,11,11,,
0,G Hinchliffe,,10,10,,
0,G Walker,10,,10,,
0,D Allsopp,1,8,9,,
0,J Williams,5,4,9,,
0,K Jackson,,9,9,,
0,M Iqbal,,9,9,,
0,J Orvis,1,8,9,,
0,A Jolley,8,,8,,
0,E Hard,,8,8,,
0,J Barber,,7,7,,
0,P Sistig,,7,7,,
0,A Nevin,,7,7,,
0,G Bye,,6,6,,
0,I McGrory,,6,6,,
0,G Fuller,,6,6,,
0,M Freeman,3,2,5,,
0,I Basser,2,3,5,,
0,A Afaal,,5,5,,
0,A Matthews,,5,5,,
0,G Hall,,5,5,,
0,S Plumb,,4,4,,
0,I Dunk,,4,4,,
0,A Ralph,,4,4,,
0,C Scott,,4,4,,
0,B Thapa,,4,4,,
0,M Cundy,,4,4,,
0,C Waldron,,4,4,,
0,J Fallon,4,,4,,
0,S Underhay,,3,3,,
0,J Barclay,,3,3,,
0,S Prosser,,3,3,,
0,R Sweeney,,3,3,,
0,R Dean,,3,3,,
0,I Blake,,3,3,,
0,A Buller,3,,3,,
0,L Bridgewater,,3,3,,
0,A Peck,,3,3,,
0,K Unwin,,3,3,,
0,N Suckling,,2,2,,
0,P Sandford,,2,2,,
0,A Curry,,2,2,,
0,A Howard,,2,2,,
0,R Stevens,,2,2,,
0,R Burgess,,2,2,,
0,N Paxton,,2,2,,
0,F Jamal,,2,2,,
0,D Harrower,,2,2,,
0,A Rafiq,,2,2,,
0,S Baker,,2,2,,
0,L Barber,,2,2,,
0,M Neale,,2,2,,
0,N Scott,1,1,2,,
0,M Swanser,,2,2,,
0,T Connor,,2,2,,
0,J Burns,,2,2,,
0,M Stevens,,2,2,,
0,N Fairley,,2,2,,
0,J Human,,2,2,,
0,I Harrison,,2,2,,
0,J Sobey,,2,2,,
0,T Young,,2,2,,
0,F Christie,2,,2,,
0,K York,,2,2,,
0,S Martensz,,1,1,,
0,J Colding,,1,1,,
0,A Underhay,,1,1,,
0,D Dyson,,1,1,,
0,N Warner,,1,1,,
0,T Peck,,1,1,,
0,B Burrage,,1,1,,
0,B Dugan,,1,1,,
0,F Faleel,,1,1,,
0,S Marston,,1,1,,
0,C Burns,,1,1,,
0,M Goddard,1,,1,,
0,J Harris,,1,1,,
0,JJ Wilkins,,1,1,,
0,J Salim,,1,1,,
0,N Grover,,1,1,,
0,C Munday,,1,1,,
0,M Natarajan,,1,1,,
0,W Rowland,,1,1,,
0,W Stock,,1,1,,
0,J Bowland,1,,1,,
0,R Bragg,,1,1,,
0,T Bryant,,1,1,,
0,I Curtis,,1,1,,
0,C Lewney,,1,1,,
0,AN Other,,1,1,,
0,A Richardson,,1,1,,
0,R Swanser,,1,1,,
0,P While,,1,1,,
0,R Moffat,,1,1,,
0,R Webb,,1,1,,
