"Runscorers 1997-2020"
"League/Cup/Twenty/20 Cup/Other 7/Other 8/Other 9/Other 10"
"Bowling Averages"
""
"","Name","Mch","Ov","Mdn","Wkts","Runs","Best","5-Wkt","Econ","S R","Av",
"J","Simpson","16","0.5","0","1","3","1--3","","3.60","5.00","3.00",
"T","Moffat","23","2.3","0","1","4","1--4","","1.60","15.00","4.00",
"A","Nair","1","6","2","3","16","3--16","","2.67","12.00","5.33",
"B","Dugan","5","14","2","5","40","2--5","","2.86","16.80","8.00",
"J","Panter","2","2","0","1","9","1--9","","4.50","12.00","9.00",
"R","Dean","14","17","0","9","85","4--28","","5.00","11.33","9.44",
"W","Stock","2","11.2","4","4","38","4--28","","3.35","17.00","9.50",
"J","Fuller","7","9","0","3","32","2--27","","3.56","18.00","10.67",
"P","Harrowing","25","32.5","3","10","107","3--14","","3.26","19.70","10.70",
"P","Lemon","69","322.5","55","89","1028","6--21","3","3.18","21.76","11.55",
"C","Scott","13","37.4","2","14","164","5--11","1","4.35","16.14","11.71",
"M","Bodell","5","1","0","1","12","1--12","","12.00","6.00","12.00",
"M","Iqbal","18","60.4","13","15","183","4--9","","3.02","24.27","12.20",
"S","Clare","67","287.5","48","86","1081","6--38","3","3.76","20.08","12.57",
"B","Thapa","13","17.1","2","6","76","2--5","","4.43","17.17","12.67",
"J","Human","3","10","0","3","39","3--39","","3.90","20.00","13.00",
"D","Rush","78","565.5","96","135","1808","5--23","3","3.20","25.15","13.39",
"S","Wilson","140","616.3","93","167","2249","6--11","5","3.65","22.15","13.47",
"S","Martensz","16","5","0","2","27","2--15","","5.40","15.00","13.50",
"S","Stanford","118","721.4","107","181","2452","7--14","8","3.40","23.92","13.55",
"N","Mahalingam","7","13","2","4","55","3--24","","4.23","19.50","13.75",
"A","Dean","132","916.3","181","213","2956","5--25","1","3.23","25.82","13.88",
"J","Baddeley","17","17","0","6","86","3--38","","5.06","17.00","14.33",
"D","Fletcher","138","147.3","22","36","517","5--17","1","3.51","24.58","14.36",
"R","Hulley","2","16","3","4","58","4--34","","3.63","24.00","14.50",
"A","Ralph","26","227.3","36","48","702","5--18","1","3.09","28.44","14.63",
"P","Orvis","88","720.3","142","148","2210","5--16","3","3.07","29.21","14.93",
"N","Thompson","1","4","0","1","15","1--15","","3.75","24.00","15.00",
"P","Walmsley","118","1064.3","206","194","2939","5--2","3","2.76","32.92","15.15",
"S","Baker","8","31.1","3","8","124","3--30","","3.98","23.38","15.50",
"M","Cullum","159","1068.1","167","225","3592","6--19","5","3.36","28.48","15.96",
"M","Haslop","187","749.4","81","195","3192","6--13","6","4.26","23.07","16.37",
"D","Gailliez","11","17.5","2","5","84","3--9","","4.71","21.40","16.80",
"O","Barnard","1","5","0","1","17","1--17","","3.40","30.00","17.00",
"P","Perera","56","406.4","65","79","1354","6--12","3","3.33","30.89","17.14",
"R","Page","80","627.4","120","120","2064","5--25","3","3.29","31.38","17.20",
"J","Barclay","16","62","8","15","258","3--9","","4.16","24.80","17.20",
"M","Thompson","185","63.1","6","17","294","4--21","","4.65","22.29","17.29",
"B","Driver","126","699","75","158","2745","7--12","2","3.93","26.54","17.37",
"J","Cotton","26","208.2","35","37","648","4--19","","3.11","33.78","17.51",
"T","Levitt","85","468.5","68","99","1735","6--22","2","3.70","28.41","17.53",
"C","Driver","104","298.2","29","70","1234","4--9","","4.14","25.57","17.63",
"J","Burns","4","21","2","4","72","2--24","","3.43","31.50","18.00",
"S","Holt","85","609","93","121","2179","5--23","3","3.58","30.20","18.01",
"G","Bye","23","112.3","2","27","501","4--40","","4.45","25.00","18.56",
"S","Prosser","23","181.1","42","32","601","5--15","1","3.32","33.97","18.78",
"C","Howse","42","67.5","5","17","327","4--24","","4.82","23.94","19.24",
"I","McGrory","6","28.5","0","7","136","3--28","","4.72","24.71","19.43",
"J","Steele","38","136.2","7","30","603","4--36","","4.42","27.27","20.10",
"J","Neal","87","388.1","54","71","1458","5--21","1","3.76","32.80","20.54",
"C","Lemon","53","135.2","11","26","537","3--7","","3.97","31.23","20.65",
"D","Hall","48","6","1","1","21","1--12","","3.50","36.00","21.00",
"P","Pelling","98","95","8","23","485","4--16","","5.11","24.78","21.09",
"A","Ingrey","26","91.3","14","16","341","4--8","","3.73","34.31","21.31",
"J","Barber","36","116.5","16","21","448","2--6","","3.83","33.38","21.33",
"S","Lambert","124","188.3","9","38","826","5--16","1","4.38","29.76","21.74",
"E","Hard","15","26.2","1","6","132","2--46","","5.01","26.33","22.00",
"S","Friend","1","3.2","0","1","22","1--22","","6.60","20.00","22.00",
"P","Dickinson","50","80.1","2","19","421","4--33","","5.25","25.32","22.16",
"J","Harris","4","10","3","1","23","1--23","","2.30","60.00","23.00",
"N","Dean","108","243.2","32","47","1084","5--24","1","4.46","31.06","23.06",
"P","Sistig","24","50","3","10","241","4--33","","4.82","30.00","24.10",
"M","Afaal","3","6","1","1","25","1--10","","4.17","36.00","25.00",
"S","Plumb","39","34.2","3","8","201","3--8","","5.85","25.75","25.13",
"B","Burrage","2","19.4","2","2","51","1--11","","2.59","59.00","25.50",
"I","Basser","20","39.2","5","5","130","2--28","","3.30","47.20","26.00",
"J","Karandana","7","26","5","4","109","2--16","","4.19","39.00","27.25",
"M","Swanser","6","53.5","9","7","194","2--26","","3.60","46.14","27.71",
"A","Peck","5","37.1","3","6","167","3--33","","4.49","37.17","27.83",
"S","Williams","22","24","1","5","141","2--31","","5.88","28.80","28.20",
"D","Underhay","92","178.5","12","37","1054","4--16","","5.89","29.00","28.49",
"T","Page","93","372","26","68","1938","4--25","","5.21","32.82","28.50",
"G","Hinchliffe","10","12.1","3","2","58","2--25","","4.77","36.50","29.00",
"A","Buller","7","9.4","0","2","58","1--23","","6.00","29.00","29.00",
"F","Eggleton","1","5","1","1","29","1--29","","5.80","30.00","29.00",
