Rank,Player,Matches,Overs,Mdn,Wkt,Runs,Best,Ave
0,R Page,177,1484.1,298,289,4534,9/41,15.69
0,P Orvis,151,1163.1,204,238,3983,6/9,16.74
0,M Cullum,169,1093.2,169,234,3702,6/19,15.82
0,A Dean,151,1035.4,197,232,3386,5/25,14.59
0,P Walmsley,148,1253.5,217,230,3656,5/2,15.90
0,B Driver,192,1035.3,95,227,4538,7/12,19.99
0,M Haslop,229,828.3,83,209,3758,6/13,17.98
0,P Lemon,154,855.1,121,199,2741,6/21,13.77
0,S Stanford,118,721.4,107,181,2452,7/14,13.55
0,S Wilson,140,616.3,93,167,2249,6/11,13.47
0,D Rush,78,565.5,96,135,1808,5/23,13.39
0,S Holt,85,609,93,121,2179,5/23,18.01
0,S English,83,559.2,108,120,1728,7/22,14.40
0,S Williams,111,583.2,108,116,2024,6/20,17.45
0,D Cornwell,55,445.3,81,111,1369,6/27,12.33
0,J Cotton,78,472.3,75,100,1591,6/28,15.91
